unique_id,ds,ARIMA,temp
temp_series,2025-07-27 00:00:00,-0.2163446514141008,23.71604369287498
temp_series,2025-07-27 03:00:00,-0.23334006688576558,23.632930095784232
temp_series,2025-07-27 06:00:00,-0.29363147558216207,23.33808376744465
temp_series,2025-07-27 09:00:00,-0.25625626492692866,23.52086177630004
temp_series,2025-07-27 12:00:00,0.12299921476313491,25.375555307386247
temp_series,2025-07-27 15:00:00,-0.11144647150310591,24.229032920776532
temp_series,2025-07-27 18:00:00,-0.32233866977723585,23.197695427076436
temp_series,2025-07-27 21:00:00,-0.17111298596766597,23.93724254640853
temp_series,2025-07-28 00:00:00,-0.2557601151075611,23.52328812452626
temp_series,2025-07-28 03:00:00,-0.2690999530990752,23.458051595185097
temp_series,2025-07-28 06:00:00,-0.30586634130613444,23.278250943590653
temp_series,2025-07-28 09:00:00,-0.28794513198826754,23.365892000268996
temp_series,2025-07-28 12:00:00,0.04972194929835082,25.017203543176304
temp_series,2025-07-28 15:00:00,-0.16880233399986397,23.9485424523737
temp_series,2025-07-28 18:00:00,-0.3785591270787699,22.922757491948705
temp_series,2025-07-28 21:00:00,-0.20507895770984974,23.77113692251941
temp_series,2025-07-29 00:00:00,-0.2655473528469568,23.475425067841375
temp_series,2025-07-29 03:00:00,-0.2775882332687969,23.416540900774837
temp_series,2025-07-29 06:00:00,-0.3116170317769722,23.25012803176283
temp_series,2025-07-29 09:00:00,-0.2945298955900717,23.33369017561513
temp_series,2025-07-29 12:00:00,0.11578506215488238,25.34027554772205
temp_series,2025-07-29 15:00:00,-0.15118619563341337,24.034691604121427
temp_series,2025-07-29 18:00:00,-0.36041018545192194,23.011512240222572
temp_series,2025-07-29 21:00:00,-0.18477286267501314,23.870440914470986
temp_series,2025-07-30 00:00:00,-0.2501202837454381,23.550868896074494
temp_series,2025-07-30 03:00:00,-0.2638753817120935,23.48360159847589
temp_series,2025-07-30 06:00:00,-0.30486315120187196,23.283156898274143
temp_series,2025-07-30 09:00:00,-0.28305710661645367,23.389796174426998
temp_series,2025-07-30 12:00:00,0.10446891351888771,25.284935575603146
temp_series,2025-07-30 15:00:00,-0.1448021398615378,24.065911896447506
temp_series,2025-07-30 18:00:00,-0.35465226821718615,23.03967049348373
temp_series,2025-07-30 21:00:00,-0.18528468898105416,23.867937902676324
temp_series,2025-07-31 00:00:00,-0.25420339804391323,23.530901021958986
temp_series,2025-07-31 03:00:00,-0.2675744016194593,23.465512081881016
temp_series,2025-07-31 06:00:00,-0.3061680704536837,23.276775381263754
temp_series,2025-07-31 09:00:00,-0.2863220664619314,23.373829365167943
temp_series,2025-07-31 12:00:00,0.09431366758505824,25.23527282859299
temp_series,2025-07-31 15:00:00,-0.15154637865656442,24.032930181653406
temp_series,2025-07-31 18:00:00,-0.36127542143498387,23.007280930019856
temp_series,2025-07-31 21:00:00,-0.18964902000808354,23.846594779223064
temp_series,2025-08-01 00:00:00,-0.25586047683912533,23.522797320136426
temp_series,2025-08-01 03:00:00,-0.26902176303973063,23.458433972250234
temp_series,2025-08-01 06:00:00,-0.3070709350044845,23.27236005404637
temp_series,2025-08-01 09:00:00,-0.28747043639540204,23.368213429734016
temp_series,2025-08-01 12:00:00,0.10155030268871673,25.270662535617276
temp_series,2025-08-01 15:00:00,-0.14997838915787753,24.04059820528329
temp_series,2025-08-01 18:00:00,-0.35962376932553913,23.01535809342827
temp_series,2025-08-01 21:00:00,-0.18754423100835782,23.856887942410275
temp_series,2025-08-02 00:00:00,-0.2541321482224871,23.531249458804243
temp_series,2025-08-02 03:00:00,-0.2674820422565466,23.46596375185575
temp_series,2025-08-02 06:00:00,-0.30633813209946537,23.27594371962349
temp_series,2025-08-02 09:00:00,-0.2861738267873548,23.37455430964524
temp_series,2025-08-02 12:00:00,0.10072193662002585,25.266611532345742
temp_series,2025-08-02 15:00:00,-0.14908353777122543,24.04497434529177
temp_series,2025-08-02 18:00:00,-0.35879686000070343,23.019401972706746
temp_series,2025-08-02 21:00:00,-0.1874493532911341,23.857351928028947
