Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind,Gust
"Wednesday, 13 August 2025 2025",00:00,Clear,24 °c,0.0 mm,12%,1008 mb,5 km/h,10 km/h
"Wednesday, 13 August 2025 2025",03:00,Clear,24 °c,0.0 mm,11%,1007 mb,5 km/h,10 km/h
"Wednesday, 13 August 2025 2025",06:00,Sunny,23 °c,0.0 mm,11%,1008 mb,5 km/h,10 km/h
"Wednesday, 13 August 2025 2025",09:00,Sunny,30 °c,0.0 mm,10%,1009 mb,7 km/h,8 km/h
"Wednesday, 13 August 2025 2025",12:00,Patchy rain nearby,35 °c,0.0 mm,73%,1006 mb,6 km/h,7 km/h
"Wednesday, 13 August 2025 2025",15:00,Thundery outbreaks in nearby,30 °c,0.0 mm,41%,1004 mb,4 km/h,6 km/h
"Wednesday, 13 August 2025 2025",18:00,Patchy rain nearby,26 °c,0.3 mm,72%,1005 mb,3 km/h,6 km/h
