unique_id,ds,DLinear,temp
temp_series,2025-07-07 00:00:00,-0.4560414,22.539763848218854
temp_series,2025-07-07 03:00:00,-0.3258987,23.176986034733936
temp_series,2025-07-07 06:00:00,-0.43168873,22.659002674408296
temp_series,2025-07-07 09:00:00,-0.09111957,24.326543299928026
temp_series,2025-07-07 12:00:00,0.06532729,25.092559513940923
temp_series,2025-07-07 15:00:00,0.65319204,27.970942227254934
temp_series,2025-07-07 18:00:00,0.20434211,25.773222651746092
temp_series,2025-07-07 21:00:00,-0.15752444,24.001402847078175
temp_series,2025-07-08 00:00:00,-0.37054783,22.958368970748335
temp_series,2025-07-08 03:00:00,-0.354788,23.035534355082586
temp_series,2025-07-08 06:00:00,-0.18956909,23.84450151380366
temp_series,2025-07-08 09:00:00,-0.050371304,24.526060467691728
temp_series,2025-07-08 12:00:00,0.14018188,25.459072690478497
temp_series,2025-07-08 15:00:00,0.56864125,27.5569532060394
temp_series,2025-07-08 18:00:00,0.08026804,25.16571444684754
temp_series,2025-07-08 21:00:00,-0.011216104,24.717777439853034
temp_series,2025-07-09 00:00:00,-0.38495213,22.887840709514652
temp_series,2025-07-09 03:00:00,-0.29255536,23.340246217567714
temp_series,2025-07-09 06:00:00,-0.2756486,23.423027415870074
temp_series,2025-07-09 09:00:00,0.06771235,25.104237590697082
temp_series,2025-07-09 12:00:00,0.22050695,25.8523711181078
temp_series,2025-07-09 15:00:00,0.34750694,26.47420559495267
temp_series,2025-07-09 18:00:00,-0.026563004,24.642633879877234
temp_series,2025-07-09 21:00:00,-0.118312195,24.19339911423584
temp_series,2025-07-10 00:00:00,-0.29288024,23.338655520203382
temp_series,2025-07-10 03:00:00,-0.49495798,22.3492152017568
temp_series,2025-07-10 06:00:00,-0.34097046,23.103189701014095
temp_series,2025-07-10 09:00:00,-0.15456164,24.015909697685935
temp_series,2025-07-10 12:00:00,0.14048399,25.46055190331973
temp_series,2025-07-10 15:00:00,0.33452195,26.41062673022197
temp_series,2025-07-10 18:00:00,-0.030018643,24.62571391466403
temp_series,2025-07-10 21:00:00,-0.14334826,24.07081414720964
temp_series,2025-07-11 00:00:00,-0.32126606,23.199669049365262
temp_series,2025-07-11 03:00:00,-0.267242,23.464188844283647
temp_series,2025-07-11 06:00:00,-0.35980558,23.010966609953346
temp_series,2025-07-11 09:00:00,-0.09400478,24.312416357639506
temp_series,2025-07-11 12:00:00,0.026337832,24.901654087820507
temp_series,2025-07-11 15:00:00,0.52038056,27.320652712148345
temp_series,2025-07-11 18:00:00,0.15494524,25.53135902178332
temp_series,2025-07-11 21:00:00,-0.1592773,23.992820216903944
temp_series,2025-07-12 00:00:00,-0.35417014,23.03855961311005
temp_series,2025-07-12 03:00:00,-0.48432404,22.401282559866317
temp_series,2025-07-12 06:00:00,-0.4095801,22.767253854497422
temp_series,2025-07-12 09:00:00,0.11724432,25.346762685768795
temp_series,2025-07-12 12:00:00,0.18003558,25.654209713045873
temp_series,2025-07-12 15:00:00,0.6221385,27.818893681022733
temp_series,2025-07-12 18:00:00,0.3284024,26.380663367649966
temp_series,2025-07-12 21:00:00,-0.3271603,23.17080885825224
temp_series,2025-07-13 00:00:00,-0.29892242,23.309070971534485
temp_series,2025-07-13 03:00:00,-0.24422258,23.57689969714121
temp_series,2025-07-13 06:00:00,-0.22849968,23.653884283930797
temp_series,2025-07-13 09:00:00,-0.04319998,24.56117367832425
temp_series,2025-07-13 12:00:00,0.08393486,25.183668416420314
temp_series,2025-07-13 15:00:00,0.6011109,27.71593538918231
temp_series,2025-07-13 18:00:00,0.17590602,25.633990010239817
temp_series,2025-07-13 21:00:00,-0.10131191,24.27663821624697
